Player,wk7,wk6,wk5,wk4,wk3,wk2,wk1
Allen Robinson II(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Miller(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Schwartz(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramel Keyton(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakim Jarrett(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tejhaun Palmer(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinton Bell(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tylan Wallace(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmarean Brown(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintez Cephus(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles Boykin(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornelius Johnson(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Furrey(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Trammell(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Ezukanma(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedrick Wilson Jr.(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant DuBose(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gunner Olszewski(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihmir Smith-Marsette(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irvin Charles(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Hodgins(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
JaQuae Jackson(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaelon Darden(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casey Washington(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Cropper(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Guyton(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Reagor(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Virgil(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamari Thrash(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Proche II(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamison Crowder(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Wayne(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Brownlee(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brycen Tremayne(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Cooks(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Drummond(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake Stoops(LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Sills V(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Montgomery(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colton Dowell(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Johnson(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Gray(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Pettis(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dareke Young(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Burgess(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody White(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Bell(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
David White Jr.(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Blair(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dayton Wade(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Thompson(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Moore(ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dee Eskridge(MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Henry(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demario Ballard(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deven Thompkins(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dez Fitzpatrick(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Peoples-Jones(DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Oliver(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Johnson(LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Ford-Wheaton(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Riley(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristian Wilkerson(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Philips(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lance McCutcheon(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucky Jackson(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Cunningham(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Knowles(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Wade(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Taylor(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Rosemy-Jacksaint(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny McKinley(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Simms(SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Mitchell(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquez Callaway(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Kinsey(TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Tipton(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurice Purify(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Bandy(DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Skowronek(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Woods II(CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Austin Jr.(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendric Pryor(CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Foreman(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Cephus(JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermaine Jackson(NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeshaun Jones(MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Matthews(ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Jackson III(CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Jiles(NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Ross(PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Stephens Jr.(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Johnson III(HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Matthews(CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Hicks(GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Harmon(DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Shorter(LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justyn Ross(KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree(IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0
KJ Hamler(BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kameron Johnson(TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazmeir Allen(WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kearis Jackson(NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Smith(NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Kirkwood(BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Johnson(PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling(FA),,0.7,0.7,0.7,0.7,0.7,0.7
Robbie Chosen(FA),,,,,,0.0,0.0
