year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,6,3917668,Alec Ingold,RB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4035693,Velus Jones Jr.,RB,CHI,0.23,0.35,0.29,,,,0.13,1.89,0.0
2024,6,4243004,Jordan Mims,RB,NO,0.17,0.26,0.22,0.0,0.61,0.01,0.09,0.54,0.0
2024,6,4372071,Hassan Haskins,RB,LAC,0.16,0.23,0.19,0.0,1.25,0.0,0.07,0.37,0.0
2024,6,4427391,Kenny McIntosh,RB,SEA,0.19,0.25,0.22,0.0,1.41,0.0,0.07,0.48,0.0
2024,6,4428718,Tre Tucker,RB,LV,6.1,9.51,7.81,,,,3.41,42.83,0.2
2024,6,4570561,Eric Gray,RB,NYG,1.57,2.12,1.85,1.7,6.83,0.05,0.55,3.88,0.03
2024,6,4589248,Tyreik McAllister,RB,LV,,,,,,,,,
2024,6,14012,Andy Dalton,RB,CAR,14.16,14.16,14.16,,,,,,
2024,6,2977187,Cooper Kupp,RB,LAR,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4012556,C.J. Ham,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4039050,Devin Duvernay,RB,JAX,0.59,0.87,0.73,,,,0.29,3.13,0.01
2024,6,4430034,Xavier Legette,RB,CAR,5.97,9.68,7.83,,,,3.71,43.79,0.25
2024,6,4039274,Jonathan Ward,RB,PIT,1.51,1.9,1.7,1.93,8.24,0.05,0.39,2.81,0.02
2024,6,4061956,Ashton Dulin,RB,IND,1.25,1.87,1.56,,,,0.62,7.63,0.05
2024,6,4427095,DeMario Douglas,RB,NE,4.62,7.86,6.24,,,,3.24,38.1,0.12
2024,6,3915416,DJ Moore,RB,CHI,9.2,14.24,11.72,,,,5.05,66.58,0.39
2024,6,4243322,Jake Haener,RB,NO,12.2,12.2,12.2,,,,,,
2024,6,4259305,Bo Melton,RB,GB,2.07,3.14,2.6,,,,1.08,13.59,0.11
2024,6,14163,Tyrod Taylor,RB,NYJ,0.0,0.0,0.0,,,,,,
2024,6,3139033,Mike Boone,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4249836,Pierre Strong Jr.,RB,CLE,1.22,2.22,1.72,0.53,3.35,0.02,1.0,6.94,0.01
2024,6,4360797,Tutu Atwell,RB,LAR,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4361370,Chris Olave,RB,NO,7.54,12.39,9.96,,,,4.85,59.69,0.26
2024,6,4372016,Jaylen Waddle,RB,MIA,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4426515,Puka Nacua,RB,LAR,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4429205,Jordan Addison,RB,MIN,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4430871,Sean Tucker,RB,TB,0.3,0.38,0.34,0.36,1.68,0.01,0.08,0.69,0.0
2024,6,3045169,Tim Boyle,RB,MIA,0.0,0.0,0.0,,,,,,
2024,6,3121427,Curtis Samuel,RB,BUF,3.52,5.69,4.61,,,,2.17,22.14,0.14
2024,6,3932905,Diontae Johnson,RB,CAR,8.73,13.95,11.34,,,,5.22,62.51,0.36
2024,6,4695404,Isaiah Davis,RB,NYJ,0.27,0.36,0.32,0.0,1.51,0.01,0.09,0.64,0.0
2024,6,4426485,Jonathan Mingo,RB,CAR,4.19,6.74,5.46,,,,2.55,31.14,0.16
2024,6,4569618,Garrett Wilson,RB,NYJ,9.03,14.79,11.91,,,,5.76,65.77,0.41
2024,6,4036419,Skylar Thompson,RB,MIA,0.0,0.0,0.0,,,,,,
2024,6,4037235,Greg Dortch,RB,ARI,3.85,6.6,5.23,,,,2.75,27.39,0.17
2024,6,4429025,Quentin Johnston,RB,LAC,5.27,8.42,6.84,,,,3.15,38.6,0.21
2024,6,3149687,Chris Brooks,RB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,3916433,Jakobi Meyers,RB,LV,7.44,12.64,10.04,,,,5.2,58.97,0.26
2024,6,4382466,Jalen Nailor,RB,MIN,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,16731,Brandin Cooks,RB,DAL,,,,,,,,,
2024,6,2576980,Marcus Mariota,RB,WSH,0.0,0.0,0.0,,,,,,
2024,6,2969939,Jameis Winston,RB,CLE,0.21,0.21,0.21,,,,,,
2024,6,3116165,Chris Godwin,RB,TB,9.2,14.94,12.07,,,,5.74,68.24,0.38
2024,6,3121422,Terry McLaurin,RB,WSH,9.26,14.68,11.97,,,,5.43,73.21,0.33
2024,6,4241263,Charlie Kolar,RB,BAL,,,,,,,,,
2024,6,4373273,British Brooks,RB,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,4373678,Khalil Shakir,RB,BUF,5.55,9.08,7.31,,,,3.52,41.2,0.22
2024,6,4431299,Rome Odunze,RB,CHI,6.11,9.49,7.8,,,,3.38,43.98,0.27
2024,6,15847,Travis Kelce,RB,KC,,,,,,,,,
2024,6,4243160,Laviska Shenault Jr.,RB,SEA,0.61,0.99,0.8,,,,0.38,4.16,0.01
2024,6,4428331,Rashee Rice,RB,KC,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024,6,4567156,Treylon Burks,RB,TEN,1.71,2.62,2.16,,,,0.91,12.6,0.06
2024,6,3059989,Nick Mullens,RB,MIN,0.0,0.0,0.0,,,,,,
2024,6,3917960,Steven Sims,RB,HOU,,,,,,,,,
2024,6,3931395,Jake Bailey,RB,MIA,,,,,,,,,
2024,6,4430637,Ja'Lynn Polk,RB,NE,3.86,6.45,5.15,,,,2.59,30.34,0.14
2024,6,4595348,Malik Nabers,RB,NYG,9.98,15.6,12.79,,,,5.62,68.8,0.48
2024,6,5097554,Kameron Johnson,RB,TB,0.32,0.51,0.41,,,,0.2,2.26,0.02
2024,6,12483,Matthew Stafford,RB,LAR,0.0,0.0,0.0,,,,,,
2024,6,2574511,Brandon Allen,RB,SF,0.0,0.0,0.0,,,,,,
2024,6,2972515,Cooper Rush,RB,DAL,0.0,0.0,0.0,,,,,,
2024,6,3054212,Jonnu Smith,RB,MIA,,,,,,,,,
2024,6,3886818,Myles Gaskin,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,14880,Kirk Cousins,RB,ATL,18.18,18.18,18.18,,,,,,
2024,6,4034946,Kyle Trask,RB,TB,0.0,0.0,0.0,,,,,,
2024,6,3039707,Mitchell Trubisky,RB,BUF,0.0,0.0,0.0,,,,,,
2024,6,3676833,KaVontae Turpin,RB,DAL,3.06,4.57,3.81,,,,1.51,17.66,0.13
2024,6,4243331,Cade Otton,RB,TB,,,,,,,,,
2024,6,4434153,Tyson Bagent,RB,CHI,0.0,0.0,0.0,,,,,,
2024,6,4360175,Clayton Tune,RB,ARI,0.0,0.0,0.0,,,,,,
2024,6,4426354,George Pickens,RB,PIT,8.42,12.69,10.55,,,,4.27,62.27,0.38
