player_name,2024,2023,2022,2021,2020,2019,2018,2017
R.Chosen,0.0,0.0,4.0,11.0,16.0,11.0,12.0,14.0
S.Miller,0.0,0.0,4.0,1.0,5.0,2.0,0.0,0.0
P.Washington,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Cobb,0.0,0.0,2.0,4.0,5.0,11.0,9.0,9.0
R.Cracraft,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Ro.Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
R.Foster,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
R.Woods,0.0,8.0,11.0,8.0,18.0,12.0,18.0,12.0
R.Gage,0.0,0.0,8.0,11.0,12.0,7.0,0.0,0.0
R.Grant,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0
R.Higgins,0.0,0.0,0.0,6.0,6.0,0.0,4.0,2.0
R.James,0.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0
R.Switzer,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
R.Louis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
R.Shepard,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
T.Austin,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
P.Richardson,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0
M.Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
T.Fulgham,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
R.Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
T.Kennedy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
T.Jones,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
M.Sanu,0.0,0.0,0.0,2.0,2.0,12.0,11.0,14.0
M.Thomas,0.0,8.0,4.0,0.0,8.0,17.0,16.0,18.0
M.Turner,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M.Valdes-Scantling,0.0,3.0,10.0,5.0,9.0,5.0,8.0,0.0
M.Wallace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
T.Hilton,0.0,0.0,1.0,5.0,14.0,7.0,15.0,13.0
N.Agholor,0.0,4.0,5.0,7.0,7.0,7.0,12.0,11.0
T.Ginn,0.0,0.0,0.0,0.0,0.0,7.0,6.0,10.0
T.Gabriel,0.0,0.0,0.0,0.0,0.0,5.0,12.0,3.0
N.Brown,0.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0
P.Nacua,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
N.Harry,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0
N.Westbrook-Ikhine,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0
O.Beckham,0.0,6.0,0.0,12.0,5.0,16.0,11.0,4.0
T.Cleveland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
O.Johnson,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
T.Burks,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
P.Campbell,0.0,3.0,9.0,1.0,1.0,3.0,0.0,0.0
P.Cooper,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
T.Benson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
P.Dorsett,0.0,0.0,3.0,1.0,0.0,5.0,6.0,1.0
P.Garcon,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
T.Benjamin,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
K.Hamler,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
J.Nelson,0.0,0.0,0.0,0.0,0.0,1.0,8.0,16.0
K.Doss,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
C.Hogan,0.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0
C.Samuel,0.0,9.0,10.0,0.0,12.0,12.0,4.0,3.0
C.Rogers,0.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0
C.Moore,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0
C.Meredith,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C.Latimer,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
C.Lacy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C.Johnson,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
C.Hansen,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
C.Beebe,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
C.Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C.Grayson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C.Davis,0.0,0.0,6.0,8.0,10.0,9.0,11.0,9.0
C.Core,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C.Conley,0.0,1.0,0.0,1.0,5.0,11.0,5.0,0.0
C.Coleman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
C.Claypool,0.0,1.0,11.0,14.0,11.0,0.0,0.0,0.0
C.Sims,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
C.Tillman,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Williams,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
C.Wilson,0.0,3.0,0.0,7.0,2.0,1.0,0.0,0.0
D.Inman,0.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0
D.Houston,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D.Harty,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0
D.Hamilton,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0
D.Fitzpatrick,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D.Duvernay,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
D.Chark,0.0,5.0,6.0,2.0,10.0,14.0,3.0,0.0
D.Cain,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D.Byrd,0.0,0.0,1.0,4.0,6.0,5.0,0.0,1.0
