year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_rushing_attempts,projected_rushing_yards,projected_rushing_tds,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,4429084,Anthony Richardson,Anthony,Richardson,RB,IND,,,,,,,,,,,,,,,,16.3,16.3,16.3,,,,,,,,,,,,
2024,8,3068267,Austin Ekeler,Austin,Ekeler,RB,WSH,"$5,900","$6,600",-700,11,47,4.3,0,29.7%,1,1,100.0%,3,3.0,0,25.0%,6.81,9.47,8.14,7.13,28.45,0.19,2.67,22.11,0.12,79.3,79.3,79.3,79.3,79.3,79.3
2024,8,3917792,Daniel Jones,Daniel,Jones,RB,NYG,,,,,,,,,,,,,,,,14.65,14.65,14.65,,,,,,,,,,,,
2024,8,3918298,Josh Allen,Josh,Allen,RB,BUF,,,,,,,,,,,,,,,,20.98,20.98,20.98,,,,,,,,,,,,
2024,8,4430871,Sean Tucker,Sean,Tucker,RB,TB,"$5,500","$4,200","+1,300",2,13,6.5,1,8.7%,0,0,0%,0,0,0,0.0%,3.33,4.12,3.73,3.94,18.44,0.13,0.79,5.95,0.03,10.5,10.5,10.5,10.5,10.5,10.5
2024,8,4682745,Jaylen Wright,Jaylen,Wright,RB,MIA,"$5,000","$5,200",-200,3,8,2.7,0,16.7%,0,0,0%,0,0,0,0.0%,2.13,2.39,2.26,3.34,13.28,0.09,0.26,1.89,0.02,10.6,10.6,10.6,10.6,10.6,10.6
2024,8,4431611,Caleb Williams,Caleb,Williams,RB,CHI,,,,,,,,,,,,,,,,16.94,16.94,16.94,,,,,,,,,,,,
2024,8,4361777,Zamir White,Zamir,White,RB,LV,"$5,400","$5,600",-200,3,11,3.7,0,21.4%,0,0,0%,0,0,0,0.0%,3.62,4.52,4.07,5.72,22.05,0.12,0.89,6.18,0.03,49.8,49.8,49.8,49.8,49.8,49.8
2024,8,3127586,Jeremy McNichols,Jeremy,McNichols,RB,WSH,"$5,300","$5,500",-200,7,26,3.7,2,18.9%,0,0,0%,0,0,0,0.0%,0.73,0.92,0.82,0.91,4.36,0.02,0.2,1.49,0.01,1.9,1.9,1.9,1.9,1.9,1.9
2024,8,15864,Geno Smith,Geno,Smith,RB,SEA,,,,,,,,,,,,,,,,17.14,17.14,17.14,,,,,,,,,,,,
2024,8,3052587,Baker Mayfield,Baker,Mayfield,RB,TB,,,,,,,,,,,,,,,,16.84,16.84,16.84,,,,,,,,,,,,
2024,8,4685247,Braelon Allen,Braelon,Allen,RB,NYJ,"$6,100","$6,000",+100,3,27,9.0,1,23.1%,1,1,100.0%,12,12.0,1,20.0%,5.04,6.24,5.64,5.94,27.42,0.18,1.2,8.87,0.09,35.6,35.6,35.6,35.6,35.6,35.6
2024,8,4361741,Brock Purdy,Brock,Purdy,RB,SF,,,,,,,,,,,,,,,,18.44,18.44,18.44,,,,,,,,,,,,
2024,8,4242431,Ty Chandler,Ty,Chandler,RB,MIN,"$5,900","$6,400",-500,4,13,3.3,0,22.2%,1,1,100.0%,5,5.0,0,10.0%,4.38,5.73,5.06,6.14,24.32,0.16,1.36,8.67,0.04,32.0,32.0,32.0,32.0,32.0,32.0
2024,8,4722893,Jaleel McLaughlin,Jaleel,McLaughlin,RB,DEN,"$4,900","$5,000",-100,4,6,1.5,1,23.5%,2,2,100.0%,2,1.0,1,40.0%,4.46,5.84,5.15,4.89,23.41,0.16,1.39,9.17,0.05,19.3,19.3,19.3,19.3,19.3,19.3
2024,8,3122840,Deshaun Watson,Deshaun,Watson,RB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8,4240021,Cam Akers,Cam,Akers,RB,MIN,"$4,500","$5,000",-500,5,21,4.2,1,16.1%,1,1,100.0%,8,8.0,1,20.0%,0.1,0.16,0.13,0.07,0.27,0.0,0.06,0.42,0.01,23.1,23.1,23.1,23.1,23.1,23.1
2024,8,4372561,Isaac Guerendo,Isaac,Guerendo,RB,SF,"$5,500","$6,000",-500,4,6,1.5,0,10.0%,0,0,0%,0,0,0,0.0%,1.72,2.04,1.88,2.8,9.73,0.07,0.33,2.54,0.01,7.0,7.0,7.0,7.0,7.0,7.0
2024,8,2576414,Raheem Mostert,Raheem,Mostert,RB,MIA,"$5,900","$6,300",-400,4,15,3.8,0,22.2%,0,0,0%,0,0,0,0.0%,7.13,8.39,7.76,8.12,40.46,0.32,1.26,9.75,0.05,71.7,71.7,71.7,71.7,71.7,71.7
2024,8,4361529,Isiah Pacheco,Isiah,Pacheco,RB,KC,"$4,000","$4,000",0,7,25,3.6,1,25.0%,1,1,100.0%,1,1.0,0,16.7%,,,,,,,,,,91.4,91.4,91.4,91.4,91.4,91.4
2024,8,4714365,Carson Steele,Carson,Steele,RB,KC,"$4,800","$4,900",-100,8,24,3.0,0,28.6%,1,2,50.0%,2,2.0,0,33.3%,3.23,3.67,3.45,4.38,19.16,0.16,0.44,3.17,0.02,5.5,5.5,5.5,5.5,5.5,5.5
2024,8,4045163,Miles Sanders,Miles,Sanders,RB,CAR,"$5,100","$5,300",-200,4,11,2.8,1,21.1%,2,3,66.7%,12,6.0,0,42.9%,3.01,4.04,3.52,4.89,19.42,0.08,1.03,5.83,0.01,4.7,4.7,4.7,4.7,4.7,4.7
2024,8,3125116,D'Onta Foreman,D'Onta,Foreman,RB,CLE,,,,,,,,,,,,,,,,1.59,2.11,1.85,2.35,8.02,0.05,0.51,4.13,0.02,,,,,,
2024,8,4429676,Tyler Goodson,Tyler,Goodson,RB,IND,"$5,500","$5,100",+400,6,12,2.0,1,17.1%,1,1,100.0%,13,13.0,0,33.3%,1.85,2.32,2.09,3.28,10.3,0.06,0.47,4.57,0.01,9.1,9.1,9.1,9.1,9.1,9.1
2024,8,4241401,Trey Sermon,Trey,Sermon,RB,IND,"$5,800","$5,900",-100,14,35,2.5,2,40.0%,2,2,100.0%,3,1.5,0,66.7%,1.15,1.41,1.28,1.15,6.8,0.04,0.26,1.88,0.01,22.7,22.7,22.7,22.7,22.7,22.7
2024,8,3139477,Patrick Mahomes,Patrick,Mahomes,RB,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8,2980453,Jamaal Williams,Jamaal,Williams,RB,NO,"$5,800","$5,100",+700,7,27,3.9,1,25.9%,0,1,0.0%,0,0,0,25.0%,1.79,2.28,2.04,2.44,10.42,0.07,0.49,3.0,0.0,4.8,4.8,4.8,4.8,4.8,4.8
2024,8,4362478,Emari Demercado,Emari,Demercado,RB,ARI,"$5,300","$4,600",+700,0,0,0,0,0.0%,2,2,100.0%,6,3.0,0,100.0%,2.27,3.3,2.79,2.3,10.35,0.05,1.03,7.04,0.05,0.7,0.7,0.7,0.7,0.7,0.7
