season,seasonType,firstName,lastName,position,teamName,Rushing Attempts,Rushing Yards,Yards per Rush,Longest Rush,20plus Yard Rushes,Rushing Yards per Game,20plus_pct
2020,2,Artavis,Pierce,Running Back,Bears,6,34,5.7,23,1,6.8,0.17
2020,2,Mecole,Hardman,Wide Receiver,Chiefs,4,31,7.8,20,1,1.9,0.25
2020,2,Terry,McLaurin,Wide Receiver,Unknown,2,30,15.0,27,1,2.0,0.5
2020,2,Jeremy,Chinn,Safety,Panthers,2,29,14.5,28,1,1.9,0.5
2020,2,Michael,Pittman Jr.,Wide Receiver,Colts,3,26,8.7,21,1,2.0,0.33
2020,2,Clayton,Fejedelem,Safety,Dolphins,2,23,11.5,22,1,1.8,0.5
2020,2,Julian,Edelman,Wide Receiver,Patriots,2,22,11.0,23,1,3.7,0.5
2020,2,DJ,Moore,Wide Receiver,Panthers,2,22,11.0,21,1,1.5,0.5
2020,2,Antonio,Gandy-Golden,Tight End,Unknown,1,22,22.0,22,1,3.7,1.0
2020,2,Jakeem,Grant Sr.,Wide Receiver,Dolphins,3,20,6.7,29,1,1.4,0.33
