season,season_type,week,player_id,player_name,position,position_group,recent_team,opponent_team,fantasy_points,fantasy_points_ppr,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr
2023,REG,13,00-0038979,C.Tillman,WR,WR,CLE,LA,2.0,4.0,2,6,20.0,0,0.0,0.0,118.0,2.0,0.0,-3.4742444,0,0.16949153,0.14634146,0.23274162,0.38243133
2023,REG,13,00-0036407,J.Jeudy,WR,WR,DEN,HOU,5.1,8.1,3,4,51.0,0,0.0,0.0,39.0,16.0,1.0,-1.7021384,0,1.3076923,0.16666667,0.12420382,0.33694267
2023,REG,13,00-0035406,L.Humphrey,WR,WR,DEN,HOU,1.2,2.2,1,1,12.0,0,0.0,0.0,2.0,10.0,1.0,0.7157408,0,6.0,0.041666668,0.006369427,0.0669586
2023,REG,13,00-0033943,J.Reynolds,WR,WR,DET,NO,1.2,2.2,1,3,12.0,0,0.0,0.0,33.0,5.0,1.0,-0.66238385,0,0.36363637,0.12,0.18435754,0.3090503
2023,REG,13,00-0038124,C.Watson,WR,WR,GB,KC,20.6,27.6,7,9,71.0,2,0.0,0.0,78.0,14.0,6.0,7.06239,0,0.9102564,0.25714287,0.29213482,0.59020865
2023,REG,13,00-0035719,D.Samuel,WR,WR,SF,PHI,31.8,35.8,4,4,116.0,2,0.0,0.0,1.0,115.0,3.0,10.85968,0,116.0,0.16,0.007246377,0.24507247
2023,REG,13,00-0031547,D.Parker,WR,WR,NE,LAC,6.4,10.4,4,9,64.0,0,0.0,0.0,142.0,12.0,3.0,0.012791502,0,0.45070422,0.375,0.5182482,0.9252737
2023,REG,13,00-0035414,J.Guyton,WR,WR,LAC,NE,0.5,1.5,1,3,5.0,0,0.0,0.0,27.0,2.0,0.0,-2.2293818,0,0.18518518,0.083333336,0.10074627,0.19552238
2023,REG,13,00-0036912,D.Smith,WR,WR,PHI,SF,15.6,24.6,9,11,96.0,1,0.0,0.0,99.0,35.0,8.0,7.4902973,0,0.969697,0.26190478,0.33110368,0.62462974
2023,REG,13,00-0036410,T.Higgins,WR,WR,CIN,JAX,3.6,6.6,3,3,36.0,0,0.0,0.0,31.0,5.0,3.0,3.4239397,0,1.1612903,0.08108108,0.21678321,0.27336988
2023,REG,13,00-0038090,S.Moore,WR,WR,KC,GB,0.5,1.5,1,2,5.0,0,0.0,0.0,21.0,0.0,1.0,-2.820191,0,0.23809524,0.06666667,0.09130435,0.16391304
2023,REG,13,00-0039052,T.Palmer,WR,WR,TB,CAR,2.5,4.5,2,5,12.0,0,0.0,0.0,40.0,0.0,1.0,-1.4142332,0,0.3,0.18518518,0.1320132,0.370187
2023,REG,13,00-0036497,T.Jones,WR,WR,JAX,CIN,0.0,0.0,0,1,0.0,0,0.0,0.0,9.0,0.0,0.0,-0.5433332,0,0.0,0.025641026,0.020501139,0.052812334
2023,REG,13,00-0037666,J.Tolbert,WR,WR,DAL,SEA,1.7,2.7,1,1,17.0,0,0.0,0.0,17.0,0.0,1.0,1.2534637,0,1.0,0.025,0.074235804,0.08946507
2023,REG,13,00-0036554,N.Collins,WR,WR,HOU,DEN,25.1,34.1,9,12,191.0,1,0.0,0.0,147.0,72.0,5.0,12.072158,0,1.2993197,0.44444445,0.51578945,1.0277193
2023,REG,13,00-0037816,R.Doubs,WR,WR,GB,KC,7.2,11.2,4,5,72.0,0,0.0,0.0,81.0,10.0,2.0,6.189654,0,0.8888889,0.14285715,0.30337077,0.42664528
2023,REG,13,00-0039146,J.Reed,WR,WR,GB,KC,1.6,5.6,4,5,16.0,0,0.0,0.0,31.0,20.0,0.0,-1.7922503,0,0.516129,0.14285715,0.11610487,0.2955591
2023,REG,13,00-0036862,B.Skowronek,WR,WR,LA,CLE,1.2,3.2,2,3,12.0,0,0.0,0.0,29.0,3.0,0.0,-1.0045903,0,0.41379312,0.0882353,0.106617644,0.2069853
2023,REG,13,00-0034272,M.Valdes-Scantling,WR,WR,KC,GB,2.5,4.5,2,5,25.0,0,0.0,0.0,133.0,0.0,2.0,1.804475,0,0.18796992,0.16666667,0.5782609,0.6547826
2023,REG,13,00-0031408,M.Evans,WR,WR,TB,CAR,22.2,29.2,7,12,162.0,1,0.0,0.0,212.0,77.0,5.0,6.0715637,0,0.7641509,0.44444445,0.69966996,1.1564356
2023,REG,13,00-0037239,C.Olave,WR,WR,NO,DET,11.9,16.9,5,8,119.0,0,0.0,0.0,146.0,36.0,4.0,8.635851,0,0.8150685,0.27586207,0.5748032,0.8161553
2023,REG,13,00-0036963,A.St. Brown,WR,WR,DET,NO,10.9,12.9,2,6,49.0,1,0.0,0.0,51.0,26.0,2.0,2.2767072,0,0.9607843,0.24,0.2849162,0.5594413
2023,REG,13,00-0036936,R.Moore,WR,WR,ARI,PIT,0.6,1.6,1,2,6.0,0,0.0,0.0,47.0,3.0,0.0,-1.3247408,0,0.12765957,0.08695652,0.2716763,0.3206082
2023,REG,13,00-0033591,N.Brown,WR,WR,HOU,DEN,0.0,0.0,0,2,0.0,0,0.0,0.0,36.0,0.0,0.0,-1.9688851,0,0.0,0.074074075,0.12631579,0.19953217
2023,REG,13,00-0037741,J.Dotson,WR,WR,WAS,MIA,2.3,4.3,2,5,23.0,0,0.0,0.0,26.0,0.0,2.0,-6.2563186,0,0.88461536,0.22727273,0.15204678,0.44734183
2023,REG,13,00-0032211,T.Lockett,WR,WR,SEA,DAL,4.7,9.7,5,8,47.0,0,0.0,0.0,72.0,10.0,3.0,-1.2749555,0,0.6527778,0.21052632,0.29508197,0.52234685
2023,REG,13,00-0033908,C.Kupp,WR,WR,LA,CLE,9.9,15.9,6,8,39.0,1,0.0,0.0,25.0,24.0,2.0,2.3746872,0,1.56,0.23529412,0.09191176,0.41727942
2023,REG,13,00-0038544,Q.Johnston,WR,WR,LAC,NE,5.2,10.2,5,7,52.0,0,0.0,0.0,60.0,21.0,2.0,2.0192695,0,0.8666667,0.19444445,0.2238806,0.4483831
2023,REG,13,00-0034854,K.Hodge,WR,WR,ATL,NYJ,0.0,0.0,0,1,0.0,0,0.0,0.0,8.0,0.0,0.0,-0.94673955,0,0.0,0.04,0.03088803,0.081621625
2023,REG,13,00-0034764,M.Gallup,WR,WR,DAL,SEA,0.0,0.0,0,1,0.0,0,0.0,0.0,10.0,0.0,0.0,-0.37393376,0,0.0,0.025,0.04366812,0.068067685
2023,REG,13,00-0037247,G.Pickens,WR,WR,PIT,ARI,8.6,12.6,4,5,86.0,0,0.0,0.0,79.0,11.0,4.0,7.07216,0,1.0886075,0.18518518,0.3542601,0.5257598
2023,REG,13,00-0032200,T.Montgomery,WR,WR,NE,LAC,0.2,0.2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,
2023,REG,13,00-0038976,M.Mims,WR,WR,DEN,HOU,1.3,2.3,1,2,5.0,0,0.0,0.0,48.0,7.0,0.0,-0.50953823,0,0.104166664,0.083333336,0.15286624,0.23200637
2023,REG,13,00-0036358,C.Lamb,WR,WR,DAL,SEA,20.6,32.6,12,17,116.0,1,0.0,0.0,128.0,33.0,6.0,4.6839867,0,0.90625,0.425,0.558952,1.0287664
2023,REG,13,00-0030564,D.Hopkins,WR,WR,TEN,IND,13.9,18.9,5,12,75.0,1,0.0,0.0,184.0,6.0,4.0,-0.7156747,0,0.4076087,0.36363637,0.6279864,0.985045
2023,REG,13,00-0031544,A.Cooper,WR,WR,CLE,LA,3.4,6.4,3,5,34.0,0,0.0,0.0,31.0,6.0,1.0,1.1191715,0,1.0967742,0.12195122,0.061143983,0.22572762
2023,REG,13,00-0034837,C.Ridley,WR,WR,JAX,CIN,3.3,7.3,4,8,26.0,0,0.0,0.0,156.0,1.0,1.0,-1.2694763,0,0.16666667,0.20512821,0.3553531,0.55643946
2023,REG,14,00-0033555,M.Hollins,WR,WR,ATL,TB,0.4,1.4,1,1,4.0,0,0.0,0.0,4.0,0.0,0.0,-0.2660318,0,1.0,0.025641026,0.010152284,0.04556814
2023,REG,14,00-0038618,X.Hutchinson,WR,WR,HOU,NYJ,1.5,3.5,2,3,15.0,0,0.0,0.0,20.0,4.0,0.0,-0.05223695,0,0.75,0.11111111,0.073529415,0.21813725
2023,REG,14,00-0034960,J.Meyers,WR,WR,LV,MIN,2.5,7.5,5,6,25.0,0,0.0,0.0,4.0,16.0,2.0,-1.3843764,0,6.25,0.20689656,0.032258064,0.33292547
2023,REG,14,00-0038496,X.Gipson,WR,WR,NYJ,HOU,7.2,8.2,1,1,3.0,0,0.0,0.0,-2.0,5.0,0.0,-0.47947386,0,0.0,0.028571429,-0.008510638,0.036899697
2023,REG,14,00-0034272,M.Valdes-Scantling,WR,WR,KC,BUF,2.2,4.2,2,4,22.0,0,0.0,0.0,49.0,13.0,1.0,-1.4561234,0,0.4489796,0.102564104,0.18215613,0.28135544
2023,REG,14,00-0035719,D.Samuel,WR,WR,SF,SEA,27.0,34.0,7,9,149.0,1,0.0,0.0,65.0,91.0,5.0,10.768927,0,2.2923076,0.33333334,0.2389706,0.6672794
2023,REG,14,00-0037247,G.Pickens,WR,WR,PIT,NE,1.9,6.9,5,6,19.0,0,0.0,0.0,32.0,8.0,0.0,-3.1689072,0,0.59375,0.17142858,0.11510792,0.3377184
2023,REG,14,00-0036635,I.Smith-Marsette,WR,WR,CAR,NO,1.0,1.0,0,1,0.0,0,0.0,0.0,10.0,0.0,0.0,-1.1407897,0,0.0,0.03125,0.023041476,0.06300403
2023,REG,14,00-0038612,A.Perry,WR,WR,NO,CAR,4.4,5.4,1,1,44.0,0,0.0,0.0,44.0,0.0,1.0,2.5559027,0,1.0,0.045454547,0.3464567,0.3107015
2023,REG,14,00-0039067,R.Rice,WR,WR,KC,BUF,11.2,18.2,7,10,72.0,1,1.0,1.0,47.0,45.0,3.0,-0.7869938,0,1.531915,0.25641027,0.1747212,0.5069202
2023,REG,14,00-0033921,C.Godwin,WR,WR,TB,ATL,5.3,10.3,5,11,53.0,0,0.0,0.0,142.0,32.0,2.0,-1.6183119,0,0.37323943,0.37931034,0.5017668,0.92020226
2023,REG,14,00-0035298,S.Miller,WR,WR,ATL,TB,0.0,0.0,0,3,0.0,0,0.0,0.0,100.0,0.0,0.0,-2.9911647,0,0.0,0.07692308,0.2538071,0.2930496
2023,REG,14,00-0037664,A.Pierce,WR,WR,IND,CIN,2.2,4.2,2,3,22.0,0,0.0,0.0,52.0,4.0,2.0,3.1646903,0,0.42307693,0.078947365,0.23318386,0.28164974
2023,REG,14,00-0037614,J.Metchie,WR,WR,HOU,NYJ,0.6,1.6,1,5,6.0,0,0.0,0.0,66.0,1.0,0.0,-6.2508783,0,0.09090909,0.18518518,0.24264705,0.44763073
2023,REG,14,00-0038544,Q.Johnston,WR,WR,LAC,DEN,9.1,12.1,3,4,91.0,0,0.0,0.0,66.0,31.0,2.0,2.6616828,0,1.3787879,0.09756097,0.19411765,0.28222382
2023,REG,14,00-0033908,C.Kupp,WR,WR,LA,BAL,17.5,25.5,8,10,115.0,1,0.0,0.0,75.0,55.0,5.0,8.449571,0,1.5333333,0.25641027,0.20325203,0.5268918
2023,REG,14,00-0033891,Z.Jones,WR,WR,JAX,CLE,2.9,7.9,5,14,29.0,0,0.0,0.0,225.0,6.0,2.0,-6.0236835,0,0.12888889,0.2857143,0.4697286,0.75738144
2023,REG,14,00-0035215,D.Harty,WR,WR,BUF,KC,2.5,3.5,1,1,25.0,0,0.0,0.0,21.0,4.0,1.0,2.6293027,0,1.1904762,0.027777778,0.07954545,0.09734848
2023,REG,14,00-0035406,L.Humphrey,WR,WR,DEN,LAC,1.2,2.2,1,1,12.0,0,0.0,0.0,-3.0,15.0,0.0,-0.23085125,0,0.0,0.033333335,-0.01898734,0.03670886
2023,REG,14,00-0038563,T.Tucker,WR,WR,LV,MIN,0.0,0.0,0,1,0.0,0,0.0,0.0,22.0,0.0,0.0,-1.6315739,0,0.0,0.03448276,0.17741935,0.17591769
2023,REG,14,00-0035414,J.Guyton,WR,WR,LAC,DEN,0.8,1.8,1,1,8.0,0,0.0,0.0,8.0,0.0,1.0,0.58766234,0,1.0,0.024390243,0.023529412,0.053055953
2023,REG,14,00-0035208,O.Zaccheaus,WR,WR,PHI,DAL,2.8,3.8,1,1,28.0,0,0.0,0.0,11.0,17.0,1.0,4.2093267,0,2.5454545,0.035714287,0.037542664,0.07985129
2023,REG,14,00-0033857,J.Smith-Schuster,WR,WR,NE,PIT,9.0,13.0,4,6,90.0,0,0.0,0.0,84.0,28.0,3.0,-2.5534496,0,1.0714285,0.23076923,0.46153846,0.66923076
2023,REG,14,00-0037257,D.Bell,WR,WR,CLE,JAX,10.1,11.1,1,3,41.0,1,0.0,0.0,20.0,37.0,1.0,4.5376196,0,2.05,0.069767445,0.059347183,0.14619419
2023,REG,14,00-0037666,J.Tolbert,WR,WR,DAL,PHI,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.6082881,0,,0.025641026,0.0,0.03846154
2023,REG,14,00-0030279,K.Allen,WR,WR,LAC,DEN,6.8,12.8,6,12,68.0,0,0.0,0.0,137.0,15.0,5.0,-4.781848,0,0.49635038,0.29268292,0.40294117,0.7210832
2023,REG,14,00-0035535,D.Slayton,WR,WR,NYG,GB,1.4,3.4,2,2,14.0,0,0.0,0.0,9.0,5.0,0.0,0.28137562,0,1.5555556,0.1,0.07258064,0.20080645
2023,REG,14,00-0031381,D.Adams,WR,WR,LV,MIN,5.3,12.3,7,10,53.0,0,0.0,0.0,69.0,26.0,0.0,-7.6336317,0,0.76811594,0.3448276,0.5564516,0.90675753
2023,REG,14,00-0030431,R.Woods,WR,WR,HOU,NYJ,-0.2,0.8,1,3,-2.0,0,0.0,0.0,25.0,1.0,0.0,-1.7144115,0,-0.08,0.11111111,0.09191176,0.23100491
