year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,3043116,Demarcus Robinson,Demarcus,Robinson,WR,LAR,"$5,400","$5,500",-100,1,4,25.0%,1,1.0,1,26.7%,3.89,6.22,5.06,2.33,30.22,0.15,24.2,24.2,24.2,24.2,24.2,24.2
2024,8,4429205,Jordan Addison,Jordan,Addison,WR,MIN,"$6,200","$6,300",-100,1,1,100.0%,6,6.0,0,10.0%,6.91,10.62,8.76,3.72,50.23,0.32,78.9,78.9,78.9,78.9,78.9,78.9
2024,8,4382466,Jalen Nailor,Jalen,Nailor,WR,MIN,"$5,400","$5,200",+200,2,3,66.7%,14,7.0,2,30.0%,4.26,6.6,5.43,2.33,30.18,0.19,9.5,9.5,9.5,9.5,9.5,9.5
2024,8,3042519,Aaron Jones,Aaron,Jones,WR,MIN,,,,,,,,,,,12.67,16.04,14.36,3.37,24.81,0.16,,,,,,
2024,8,3116365,Mark Andrews,Mark,Andrews,WR,BAL,,,,,,,,,,,,,,,,,,,,,,
2024,8,4428718,Tre Tucker,Tre,Tucker,WR,LV,"$5,600","$5,500",+100,2,2,100.0%,20,10.0,1,11.8%,5.21,8.23,6.72,3.02,37.05,0.16,13.3,13.3,13.3,13.3,13.3,13.3
2024,8,4361050,Isaiah Likely,Isaiah,Likely,WR,BAL,,,,,,,,,,,,,,,,,,,,,,
2024,8,4430027,Sam LaPorta,Sam,LaPorta,WR,DET,,,,,,,,,,,,,,,,,,,,,,
2024,8,4243537,Gabe Davis,Gabe,Davis,WR,JAX,"$5,800","$5,900",-100,4,10,40.0%,47,11.8,2,45.5%,5.81,8.66,7.24,2.85,39.65,0.32,28.7,28.7,28.7,28.7,28.7,28.7
2024,8,4038441,Justice Hill,Justice,Hill,WR,BAL,,,,,,,,,,,4.3,6.56,5.43,2.26,18.44,0.13,,,,,,
2024,8,4242557,Colby Parkinson,Colby,Parkinson,WR,LAR,,,,,,,,,,,,,,,,,,,,,,
2024,8,4243389,Calvin Austin III,Calvin,Austin III,WR,PIT,,,,,,,,,,,3.33,5.22,4.28,1.89,24.09,0.14,1.5,1.5,1.5,1.5,1.5,1.5
2024,8,3068267,Austin Ekeler,Austin,Ekeler,WR,WSH,,,,,,,,,,,6.81,9.47,8.14,2.67,22.11,0.12,,,,,,
2024,8,4430807,Bijan Robinson,Bijan,Robinson,WR,ATL,,,,,,,,,,,14.39,17.83,16.11,3.44,27.35,0.17,,,,,,
2024,8,4569382,Jordan Whittington,Jordan,Whittington,WR,LAR,"$5,500","$5,300",+200,0,1,0.0%,0,0,0,6.7%,,,,,,,10.5,10.5,10.5,10.5,10.5,10.5
2024,8,2977187,Cooper Kupp,Cooper,Kupp,WR,LAR,"$8,300","$8,000",+300,2,3,66.7%,13,6.5,1,20.0%,9.16,15.02,12.09,5.86,69.25,0.35,97.9,97.9,97.9,97.9,97.9,97.9
2024,8,3915486,Tyler Conklin,Tyler,Conklin,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,
2024,8,4683062,Xavier Worthy,Xavier,Worthy,WR,KC,"$7,200","$7,300",-100,3,4,75.0%,14,4.7,0,30.8%,6.69,10.0,8.35,3.31,43.6,0.24,86.9,86.9,86.9,86.9,86.9,86.9
2024,8,4697815,Rachaad White,Rachaad,White,WR,TB,,,,,,,,,,,8.42,11.67,10.04,3.24,25.43,0.13,,,,,,
