year,week,player_id,player,position,team,points,points_ppr,points_half,receptions,reception_yards,reception_tds
2024,5,4430871,Sean Tucker,WR,TB,0.53,0.74,0.64,0.21,1.54,0.01
2024,5,4431453,Deuce Vaughn,WR,DAL,1.19,1.7,1.45,0.51,3.77,0.01
2024,5,3911853,Adam Trautman,WR,DEN,,,,,,
2024,5,4362018,Blake Whiteheart,WR,CLE,,,,,,
2024,5,4429022,Kayshon Boutte,WR,NE,1.12,1.88,1.5,0.76,8.99,0.04
2024,5,4879650,Grant DuBose,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,2971281,Pharaoh Brown,WR,SEA,,,,,,
2024,5,3122976,Jeff Wilson Jr.,WR,MIA,,,,,,
2024,5,4372063,Ronnie Bell,WR,SF,0.18,0.29,0.24,0.1,1.22,0.01
2024,5,4429275,Trey Benson,WR,ARI,2.93,3.46,3.2,0.53,3.74,0.02
2024,5,4689334,Malik Heath,WR,GB,2.73,4.21,3.47,1.48,17.8,0.16
2024,5,3052897,Durham Smythe,WR,MIA,,,,,,
2024,5,3931391,Trenton Irwin,WR,CIN,,,,,,
2024,5,4012556,C.J. Ham,WR,MIN,0.33,0.81,0.57,0.48,2.66,0.01
2024,5,4240021,Cam Akers,WR,HOU,8.86,10.17,9.52,1.3,9.18,0.04
2024,5,2576414,Raheem Mostert,WR,MIA,5.02,5.92,5.47,0.9,6.33,0.04
2024,5,2508256,MyCole Pruitt,WR,PIT,,,,,,
2024,5,4036211,DJ Turner,WR,LV,2.7,4.51,3.6,1.82,20.99,0.07
2024,5,4369863,Cedric Tillman,WR,CLE,0.62,0.98,0.8,0.36,4.32,0.03
2024,5,4431280,Troy Franklin,WR,DEN,2.27,3.77,3.02,1.5,17.84,0.08
2024,5,4570561,Eric Gray,WR,NYG,5.12,6.33,5.72,1.21,8.44,0.04
2024,5,4686104,Johnny Wilson,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3914151,Josiah Deguara,WR,JAX,,,,,,
2024,5,4035693,Velus Jones Jr.,WR,CHI,,,,,,
2024,5,4372505,Payne Durham,WR,TB,,,,,,
2024,5,4569603,Malik Washington,WR,MIA,0.08,0.14,0.11,0.06,0.75,0.0
2024,5,4722893,Jaleel McLaughlin,WR,DEN,5.86,7.31,6.59,1.45,9.76,0.04
2024,5,2515270,Michael Burton,WR,DEN,0.42,0.89,0.65,0.47,3.01,0.02
2024,5,3046779,Jared Goff,WR,DET,0.0,0.0,0.0,,,
2024,5,4241401,Trey Sermon,WR,IND,9.84,11.42,10.63,1.58,11.61,0.04
2024,5,4362504,Brevin Jordan,WR,HOU,,,,,,
2024,5,4373684,Scott Matlock,WR,LAC,,,,,,
2024,5,4430723,Jared Wiley,WR,KC,,,,,,
2024,5,4567096,John Metchie III,WR,HOU,0.17,0.28,0.23,0.11,1.28,0.01
2024,5,3052177,John Ross,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3127586,Jeremy McNichols,WR,WSH,0.36,0.56,0.46,0.2,1.41,0.01
2024,5,4383440,Nate Adkins,WR,DEN,,,,,,
2024,5,2574808,Robbie Chosen,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,2576716,Jamison Crowder,WR,WSH,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3051876,Evan Engram,WR,JAX,,,,,,
2024,5,4257188,Charlie Jones,WR,CIN,0.43,0.67,0.55,0.24,3.02,0.02
2024,5,2578533,Chris Conley,WR,SF,0.09,0.14,0.11,0.05,0.57,0.01
2024,5,4034862,Jack Stoll,WR,PHI,,,,,,
2024,5,4035020,Charlie Woerner,WR,ATL,,,,,,
2024,5,4035886,Khalil Herbert,WR,CHI,0.63,0.88,0.76,0.26,1.78,0.03
2024,5,4613104,Malachi Corley,WR,NYJ,,,,,,
2024,5,3916204,James Proche II,WR,CLE,0.59,0.98,0.79,0.39,4.15,0.03
2024,5,4036335,Cedrick Wilson Jr.,WR,NO,0.74,1.19,0.96,0.45,5.32,0.03
2024,5,4429023,MarShawn Lloyd,WR,GB,,,,,,
2024,5,4686422,Xavier Hutchinson,WR,HOU,0.84,1.3,1.07,0.46,5.56,0.04
2024,5,2468609,Taysom Hill,WR,NO,,,,,,
2024,5,2577185,Jake Brendel,WR,SF,,,,,,
2024,5,3051926,Gus Edwards,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3139477,Patrick Mahomes,WR,KC,,,,,,
2024,5,4241961,Connor Heyward,WR,PIT,,,,,,
2024,5,4429676,Tyler Goodson,WR,IND,5.89,7.11,6.5,1.22,9.91,0.04
2024,5,4714365,Carson Steele,WR,KC,4.11,5.01,4.56,0.9,6.45,0.04
2024,5,3123303,Trent Scott,WR,WSH,,,,,,
2024,5,4570577,Wanya Morris,WR,KC,,,,,,
2024,5,16763,Jordan Matthews,WR,CAR,,,,,,
2024,5,2511973,Eric Tomlinson,WR,LAC,,,,,,
2024,5,2975417,Patrick Ricard,WR,BAL,0.39,0.71,0.55,0.32,2.4,0.02
2024,5,3123075,Braxton Berrios,WR,MIA,0.71,1.27,0.99,0.56,5.15,0.03
2024,5,3126997,Tom Kennedy,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,3139602,D'Ernest Johnson,WR,JAX,0.89,1.08,0.98,0.18,1.35,0.0
2024,5,3918639,Gerald Everett,WR,CHI,,,,,,
2024,5,3928925,JaMycal Hasty,WR,NE,0.95,1.16,1.06,0.21,1.61,0.01
2024,5,3929914,Adam Prentice,WR,NO,0.29,0.46,0.38,0.17,1.15,0.01
2024,5,4034948,Feleipe Franks,WR,CAR,,,,,,
2024,5,4039607,J.J. Taylor,WR,HOU,1.4,1.63,1.52,0.24,1.71,0.0
2024,5,4243003,Ronnie Rivers,WR,LAR,2.62,3.28,2.95,0.66,5.01,0.02
2024,5,4360967,Brevyn Spann-Ford,WR,DAL,,,,,,
2024,5,4362186,Erik Ezukanma,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4401805,Dareke Young,WR,SEA,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,4426553,Davis Allen,WR,LAR,,,,,,
2024,5,4427985,Bub Means,WR,NO,0.07,0.12,0.09,0.06,0.67,0.0
2024,5,4430191,Skyy Moore,WR,KC,1.93,3.1,2.51,1.17,13.94,0.09
2024,5,4568652,Tyler Smith,WR,DAL,,,,,,
2024,5,4682745,Jaylen Wright,WR,MIA,2.04,2.47,2.25,0.43,2.83,0.02
2024,5,4692590,Jalin Hyatt,WR,NYG,4.35,6.85,5.6,2.5,33.96,0.16
2024,5,4695883,Jalen Coker,WR,CAR,1.45,2.33,1.89,0.89,11.16,0.06
2024,5,5097554,Kameron Johnson,WR,TB,1.28,2.08,1.68,0.79,9.14,0.06
2024,5,4039050,Devin Duvernay,WR,JAX,0.58,0.95,0.76,0.37,3.91,0.02
2024,5,4362748,Tyler Badie,WR,DEN,,,,,,
2024,5,5092959,Dominick Puni,WR,SF,,,,,,
2024,5,4360310,Trevor Lawrence,WR,JAX,15.82,15.82,15.82,,,
