Year,Week,FantasyPros_ID,Player,Player,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank_rz,REC_rz,TGT_rz,REC PCT_rz,YDS_rz,Y/R_rz,TD_rz,TGT PCT_rz,ATT_rz,YDS_rz,TD_rz,PCT_rz,FL_rz,G_rz,FPTS_rz,FPTS/G_rz,ROST %_rz
2018,9,16434,Curtis Samuel,Curtis Samuel (BUF),1,2,25,15,0,10,2,0,4,3,1,1,1,0,0,0,0,1,1,1,100.0%,19,19.0,1,50.0%,0,0,0,0%,0,1,7.9,7.9,8.8%
2018,9,11606,DeAndre Hopkins,DeAndre Hopkins (BAL),1,10,105,66,0,39,5,0,12,10,0,0,4,0,0,0,0,3,1,1,100.0%,16,16.0,1,100.0%,0,0,0,0%,0,1,7.6,7.6,21.8%
2018,10,15802,Tyreek Hill,Tyreek Hill (MIA),1,7,117,68,0,49,2,1,10,7,0,2,4,2,2,0,0,4,2,2,100.0%,18,9.0,1,100.0%,0,0,0,0%,0,1,7.8,7.8,97.3%
2018,10,12127,Odell Beckham Jr.,Odell Beckham Jr. (FA),1,4,73,63,0,10,0,0,11,6,2,0,4,2,1,0,0,2,2,4,50.0%,30,15.0,2,66.7%,0,0,0,0%,0,1,15.0,15.0,1.1%
2018,10,15528,Michael Thomas,Michael Thomas (FA),1,8,70,54,0,16,5,0,8,8,0,4,2,0,0,0,0,1,5,5,100.0%,49,9.8,2,100.0%,0,0,0,0%,0,1,16.9,16.9,1.2%
2018,10,12123,Davante Adams,Davante Adams (LAR),1,4,57,43,0,14,2,0,7,5,1,1,2,1,0,0,0,7,1,3,33.3%,7,7.0,1,100.0%,0,0,0,0%,0,1,6.7,6.7,96.5%
2018,10,12122,Brandin Cooks,Brandin Cooks (NO),1,10,100,49,0,51,0,0,12,10,0,2,4,0,0,0,0,5,1,2,50.0%,7,7.0,0,66.7%,1,9,1,100.0%,0,1,7.6,7.6,11.2%
2018,11,11206,T.Y. Hilton,T.Y. Hilton (FA),1,9,155,110,0,45,35,1,9,9,0,1,5,1,1,1,1,8,1,1,100.0%,14,14.0,1,33.3%,0,0,0,0%,0,1,7.4,7.4,1.6%
2018,11,17261,Tre'Quan Smith,Tre'Quan Smith (FA),1,10,157,121,0,36,10,2,13,10,0,2,6,3,1,0,0,7,1,2,50.0%,15,15.0,1,66.7%,0,0,0,0%,0,1,7.5,7.5,0.0%
2018,11,14151,Chris Conley,Chris Conley (FA),1,7,74,29,0,45,21,1,8,7,0,2,3,1,0,0,0,2,2,2,100.0%,18,9.0,2,100.0%,0,0,0,0%,0,1,13.8,13.8,0.0%
2018,12,13429,Adam Thielen,Adam Thielen (CAR),1,8,125,79,0,46,19,1,9,8,0,1,6,3,1,0,0,8,1,1,100.0%,14,14.0,1,33.3%,0,0,0,0%,0,1,7.4,7.4,41.4%
2018,12,9691,Demaryius Thomas,Demaryius Thomas (FA),1,4,38,22,0,16,0,0,5,4,0,2,3,0,0,0,0,1,2,2,100.0%,22,11.0,2,100.0%,0,0,0,0%,0,1,14.2,14.2,0.1%
2018,13,17264,Dante Pettis,Dante Pettis (NO),1,5,129,60,0,69,52,1,7,5,0,1,4,1,1,1,1,5,1,1,100.0%,17,17.0,1,33.3%,0,0,0,0%,0,1,7.7,7.7,0.6%
2018,13,16431,Zay Jones,Zay Jones (ARI),1,4,67,62,0,5,2,0,9,5,1,1,3,2,0,0,0,7,1,2,50.0%,15,15.0,1,66.7%,0,0,0,0%,0,1,7.5,7.5,2.5%
2018,13,11898,Jaron Brown,Jaron Brown (FA),1,3,67,43,0,24,5,0,3,3,0,2,2,1,1,1,0,1,2,2,100.0%,22,11.0,2,66.7%,0,0,0,0%,0,1,14.2,14.2,0.0%
2018,13,16406,Chris Godwin,Chris Godwin (TB),1,5,101,55,0,46,5,0,6,5,0,1,5,1,1,1,0,8,1,2,50.0%,13,13.0,1,50.0%,0,0,0,0%,0,1,7.3,7.3,88.3%
2018,14,13894,Amari Cooper,Amari Cooper (FA),1,10,217,127,0,90,11,0,13,11,1,1,9,3,1,1,1,6,1,1,100.0%,15,15.0,1,33.3%,0,0,0,0%,0,1,7.5,7.5,15.2%
2018,14,16427,JuJu Smith-Schuster,JuJu Smith-Schuster (KC),1,8,130,60,0,70,30,1,12,9,0,3,6,2,1,1,0,2,3,4,75.0%,10,3.3,2,44.4%,0,0,0,0%,0,1,13.0,13.0,1.8%
2018,14,9867,Julio Jones,Julio Jones (FA),1,8,106,77,0,29,5,0,11,9,1,2,4,1,0,0,0,1,2,2,100.0%,28,14.0,2,40.0%,0,0,0,0%,0,1,14.8,14.8,0.6%
2018,15,16377,Mike Williams,Mike Williams (FA),1,7,76,60,0,16,5,1,9,7,0,3,3,1,1,0,0,1,2,4,50.0%,4,2.0,2,66.7%,1,19,1,100.0%,0,1,20.3,20.3,13.7%
2018,15,11606,DeAndre Hopkins,DeAndre Hopkins (BAL),1,10,170,146,0,24,10,1,11,10,0,1,7,3,1,1,0,3,1,2,50.0%,14,14.0,1,100.0%,0,0,0,0%,0,1,7.4,7.4,21.8%
2018,16,9808,Antonio Brown,Antonio Brown (FA),1,14,185,135,0,50,11,0,19,14,0,1,10,3,0,0,0,1,2,4,50.0%,23,11.5,2,66.7%,0,0,0,0%,0,1,14.3,14.3,1.0%
2018,16,11610,Robert Woods,Robert Woods (PIT),1,6,89,50,0,39,5,0,7,6,0,0,4,1,1,0,0,6,1,1,100.0%,11,11.0,0,50.0%,1,4,1,100.0%,0,1,7.5,7.5,1.6%
2018,16,15528,Michael Thomas,Michael Thomas (FA),1,11,109,59,0,50,16,0,13,11,0,3,4,2,0,0,0,5,3,3,100.0%,15,5.0,1,100.0%,0,0,0,0%,0,1,7.5,7.5,1.2%
2018,17,15802,Tyreek Hill,Tyreek Hill (MIA),1,5,101,51,0,50,25,1,7,5,0,0,3,1,1,1,1,8,0,0,0%,0,0.0,0,0.0%,1,15,1,100.0%,0,1,7.5,7.5,97.3%
2018,17,16406,Chris Godwin,Chris Godwin (TB),1,6,114,92,0,22,6,0,9,6,0,1,4,3,1,0,0,4,1,1,100.0%,19,19.0,1,33.3%,0,0,0,0%,0,1,7.9,7.9,88.3%
2018,17,12119,Mike Evans,Mike Evans (TB),1,6,106,61,0,45,5,0,8,6,0,2,5,1,1,0,0,1,2,2,100.0%,29,14.5,2,66.7%,0,0,0,0%,0,1,14.9,14.9,97.3%
2018,17,16431,Zay Jones,Zay Jones (ARI),1,6,93,59,0,34,12,1,9,6,0,2,5,2,0,0,0,5,1,2,50.0%,18,18.0,1,50.0%,0,0,0,0%,0,1,7.8,7.8,2.5%
2018,17,9867,Julio Jones,Julio Jones (FA),1,9,138,116,0,22,8,0,13,9,0,2,6,1,1,0,0,3,2,3,66.7%,30,15.0,1,75.0%,0,0,0,0%,0,1,9.0,9.0,0.6%
2018,17,12122,Brandin Cooks,Brandin Cooks (NO),1,5,62,35,0,27,14,2,9,5,0,2,3,1,0,0,0,2,2,2,100.0%,21,10.5,2,50.0%,0,0,0,0%,0,1,14.1,14.1,11.2%
2019,1,11606,DeAndre Hopkins,DeAndre Hopkins (BAL),1,8,111,86,0,25,0,0,13,11,2,2,5,2,1,0,0,2,2,2,100.0%,18,9.0,2,100.0%,0,0,0,0%,0,1,13.8,13.8,21.8%
2019,1,11206,T.Y. Hilton,T.Y. Hilton (FA),1,8,87,43,0,44,20,0,9,9,0,3,4,0,0,0,0,1,3,3,100.0%,28,9.3,2,60.0%,0,0,0,0%,0,1,14.8,14.8,1.6%
2019,2,16406,Chris Godwin,Chris Godwin (TB),1,8,121,79,0,42,28,1,9,8,0,0,5,4,0,0,0,2,1,1,100.0%,20,20.0,1,50.0%,0,0,0,0%,0,1,8.0,8.0,88.3%
2019,2,9707,Emmanuel Sanders,Emmanuel Sanders (FA),1,11,98,70,0,28,3,0,13,11,0,4,4,1,0,0,0,3,3,4,75.0%,16,5.3,1,57.1%,0,0,0,0%,0,1,7.6,7.6,0.0%
