season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,rushing_yards,rush_yds_per_game,carries,carries_per_game,avg_yds_per_carry,carries_last3_games_played,avg_carries_last3_games_played,receptions,receptions_per_game,rec_last3_games_played,avg_rec_last3_games_played,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_12_carries_or_receptions_bool,avg_carries_last3_games_played_bool,avg_rec_last3_games_played_bool,avg_15_rec_or_carries_last3_games_bool,avg_4yds_per_carry_bool
2024,10,00-0037197,i,isiah,pacheco,KC,2,"$4,000","$4,000",0,135,67.5,34,17.0,3.97,34,11.3,7,3.5,7,2.3,7,25,3.6,1,16.7%,1,1,100.0%,1,1.0,0,12.5%,True,False,False,False,False
2024,10,00-0035243,m,miles,sanders,CAR,9,"$5,100","$5,100",0,134,14.9,36,4.0,3.72,6,2.0,21,2.3,10,3.3,4,11,2.8,1,16.0%,3,4,75.0%,17,5.7,0,44.4%,False,False,False,False,False
2024,10,00-0036984,t,trey,sermon,IND,8,"$5,900","$5,100",+800,131,16.4,47,5.9,2.79,10,3.3,10,1.2,3,1.0,14,35,2.5,2,36.8%,2,2,100.0%,3,1.5,0,66.7%,False,False,False,False,False
2024,10,00-0037120,t,tyler,goodson,IND,5,"$5,400","$5,000",+400,128,25.6,27,5.4,4.74,27,9.0,8,1.6,7,2.3,6,12,2.0,1,15.8%,1,1,100.0%,13,13.0,0,33.3%,False,False,False,False,True
2024,10,00-0036919,k,kenneth,gainwell,PHI,8,"$4,900","$5,000",-100,124,15.5,31,3.9,4.0,23,7.7,5,0.6,2,0.7,9,42,4.7,0,23.7%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0033948,j,jamaal,williams,NO,8,"$5,000","$5,200",-200,124,15.5,32,4.0,3.88,7,2.3,4,0.5,0,0.0,7,27,3.9,1,21.9%,0,1,0.0%,0,0,0,20.0%,False,False,False,False,False
2024,10,00-0034975,j,justice,hill,BAL,9,"$5,500","$5,300",+200,119,13.2,32,3.6,3.72,12,4.0,25,2.8,7,2.3,5,11,2.2,0,13.9%,4,6,66.7%,53,13.3,2,60.0%,False,False,False,False,False
2024,10,00-0035628,d,nan,johnson,JAX,8,,,,114,14.2,28,3.5,4.07,12,4.0,8,1.0,4,1.3,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0039032,t,tyjae,spears,TEN,5,"$5,200","$5,400",-200,114,22.8,33,6.6,3.45,23,7.7,12,2.4,6,2.0,3,9,3.0,1,12.0%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0034184,g,gus,edwards,LAC,4,"$5,000","$5,500",-500,113,28.2,38,9.5,2.97,27,9.0,1,0.2,0,0.0,5,9,1.8,0,20.8%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
