season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,targets,targets_per_game,target_share,receptions,receptions_per_game,receiving_yards,receiving_yards_per_game,yds_per_reception,total_targets_last_3_games,avg_7tgs_last3_games,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_7tgs_per_game_bool,season_avg_10yds_per_reception_bool,avg_7tgs_last3_games_bool
2024,11,00-0030431,r,robert,woods,HOU,5,"$5,300","$5,400",-100,13,2.6,0.075,8,1.6,91,18.2,11.38,8,2.7,0,1,0.0%,0,0,0,3.7%,False,True,True
2024,11,00-0031236,b,brandin,cooks,DAL,4,"$5,000","$5,000",0,19,4.8,0.137,9,2.2,91,22.8,10.11,12,4.0,0,1,0.0%,0,0,0,3.7%,False,True,True
2024,11,00-0038752,j,jake,bobo,SEA,7,"$4,800",-,-,13,1.9,0.045,9,1.3,81,11.6,9.0,3,1.0,1,1,100.0%,10,10.0,0,4.2%,False,False,False
2024,11,00-0039907,j,jalynn,polk,NE,9,"$4,800","$4,700",+100,28,3.1,0.106,11,1.2,80,8.9,7.27,5,1.7,2,3,66.7%,7,3.5,2,23.1%,False,False,False
2024,11,00-0035140,m,nan,hardman,KC,5,,,,11,2.2,0.065,10,2.0,78,15.6,7.8,5,1.7,,,,,,,,False,False,False
2024,11,00-0038821,r,nan,jarrett,TB,3,,,,8,2.7,0.078,6,2.0,77,25.7,12.83,8,2.7,,,,,,,,False,True,True
2024,11,00-0034854,k,khadarel,hodge,ATL,3,"$4,300","$4,800",-500,4,1.3,0.06,3,1.0,76,25.3,25.33,4,1.3,,,,,,,,False,True,False
2024,11,00-0036387,j,jalen,reagor,LAC,4,"$4,100","$4,000",+100,6,1.5,0.057,4,1.0,76,19.0,19.0,5,1.7,0,0,0%,0,0,0,0.0%,False,True,False
2024,11,00-0037091,b,bo,melton,GB,7,"$4,500",-,-,11,1.6,0.054,5,0.7,73,10.4,14.6,4,1.3,,,,,,,,False,True,False
2024,11,00-0031763,d,deandre,carter,CHI,5,"$4,100","$4,200",-100,14,2.8,0.08,9,1.8,72,14.4,8.0,8,2.7,2,3,66.7%,16,8.0,0,12.0%,False,False,True
2024,11,00-0038824,r,nan,miller,TB,4,,,,12,3.0,0.084,6,1.5,70,17.5,11.67,11,3.7,,,,,,,,False,True,True
2024,11,00-0033307,k,kendrick,bourne,NE,5,"$5,000","$5,000",0,14,2.8,0.082,8,1.6,70,14.0,8.75,11,3.7,0,1,0.0%,0,0,0,7.7%,False,False,True
2024,11,00-0038618,x,xavier,hutchinson,HOU,9,"$5,400","$5,600",-200,17,1.9,0.06,7,0.8,70,7.8,10.0,8,2.7,0,1,0.0%,0,0,0,3.7%,False,True,True
2024,11,00-0031544,a,amari,cooper,BUF,2,"$6,300","$6,700",-400,7,3.5,0.109,5,2.5,69,34.5,13.8,13,4.3,3,4,75.0%,28,9.3,2,18.2%,False,True,True
2024,11,00-0038976,m,nan,mims,DEN,9,,,,19,2.1,0.069,11,1.2,69,7.7,6.27,8,2.7,,,,,,,,False,False,True
