year,week,player_id,player,firstName,lastName,position,team,points,points_ppr,points_half,passing_attempts,passing_completions,passing_yards,passing_tds,This Week,Last Week,Difference
2024,7,2565969,Taylor Heinicke,Taylor,Heinicke,QB,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,3059989,Nick Mullens,Nick,Mullens,QB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000",-,-
2024,7,4597500,Adonai Mitchell,Adonai,Mitchell,QB,IND,3.49,5.31,4.4,,,,,,,
2024,7,3115293,Kyle Allen,Kyle,Allen,QB,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,4240858,Hendon Hooker,Hendon,Hooker,QB,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,3916370,Jack Fox,Jack,Fox,QB,DET,,,,,,,,,,
2024,7,4243322,Jake Haener,Jake,Haener,QB,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,2969939,Jameis Winston,Jameis,Winston,QB,CLE,0.22,0.22,0.22,0.0,0.0,0.0,0.0,"$6,000","$6,300",-300
2024,7,2976212,Stefon Diggs,Stefon,Diggs,QB,HOU,9.91,15.92,12.92,,,,,,,
2024,7,4374302,Amon-Ra St. Brown,Amon-Ra,St. Brown,QB,DET,10.1,16.43,13.26,,,,,,,
2024,7,3039707,Mitchell Trubisky,Mitchell,Trubisky,QB,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,11394,Josh Johnson,Josh,Johnson,QB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
2024,7,11394,Josh Johnson,Josh,Johnson,QB,BAL,0.0,0.0,0.0,,,,,"$6,000","$6,000",0
2024,7,15153,Johnny Hekker,Johnny,Hekker,QB,CAR,,,,,,,,,,
2024,7,3126486,Deebo Samuel Sr.,Deebo,Samuel Sr.,QB,SF,10.19,14.48,12.33,,,,,,,
2024,7,4040655,Darnell Mooney,Darnell,Mooney,QB,ATL,8.06,12.24,10.15,,,,,,,
2024,7,4242431,Ty Chandler,Ty,Chandler,QB,MIN,5.72,7.38,6.55,,,,,,,
2024,7,4360797,Tutu Atwell,Tutu,Atwell,QB,LAR,5.2,8.07,6.63,,,,,,,
2024,7,4595348,Malik Nabers,Malik,Nabers,QB,NYG,9.42,14.92,12.17,,,,,,,
2024,7,2576980,Marcus Mariota,Marcus,Mariota,QB,WSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$6,000","$6,000",0
