season,player_name,count_of_weeks
2020,B.Cooks,10
2020,C.Beasley,10
2020,C.Godwin,10
2020,C.Kupp,10
2020,C.Lamb,10
2020,T.Higgins,10
2020,T.Lockett,10
2020,C.Claypool,9
2020,D.Moore,9
2020,D.Parker,9
2020,D.Slayton,9
2020,J.Jefferson,9
2020,J.Jeudy,9
2020,M.Brown,9
2020,T.Boyd,9
2020,A.Thielen,8
2020,J.Landry,8
2020,M.Jones,8
2020,M.Williams,8
2020,R.Gage,8
2020,A.Green,7
2020,B.Aiyuk,7
2020,D.Chark,7
2020,J.Crowder,7
2020,M.Gallup,7
2020,S.Shepard,7
2020,W.Fuller,7
2020,C.Davis,6
2020,C.Samuel,6
2020,D.Byrd,6
2020,D.Mooney,6
2020,J.Jones,6
2020,T.Hilton,6
2020,C.Conley,5
2020,D.Amendola,5
2020,H.Renfrow,5
2020,J.Meyers,5
2020,K.Cole,5
2020,L.Fitzgerald,5
2020,L.Shenault,5
2020,M.Thomas,5
2020,N.Agholor,5
2020,T.Fulgham,5
2020,B.Perriman,4
2020,C.Kirk,4
2020,C.Sims,4
2020,D.Mims,4
2020,E.Sanders,4
2020,J.Brown,4
2020,J.Reagor,4
2020,J.Reynolds,4
2020,M.Pittman,4
2020,R.Higgins,4
2020,S.Watkins,4
2020,T.Patrick,4
2020,A.Miller,3
2020,B.Berrios,3
2020,D.Samuel,3
2020,G.Ward,3
2020,I.Ford,3
2020,J.Smith,3
2020,K.Coutee,3
2020,K.Golladay,3
2020,K.Hamler,3
2020,L.Bowden,3
2020,M.Valdes-Scantling,3
2020,O.Beckham,3
2020,W.Snead,3
2020,A.Humphries,2
2020,A.Lazard,2
2020,C.Hansen,2
2020,C.Hogan,2
2020,D.Jackson,2
2020,D.Robinson,2
2020,G.Davis,2
2020,G.Tate,2
2020,J.Edelman,2
2020,J.Washington,2
2020,K.Bourne,2
2020,M.Hardman,2
2020,M.Johnson,2
2020,N.Harry,2
2020,R.James,2
2020,S.Miller,2
2020,T.Smith,2
2020,V.Jefferson,2
2020,Z.Pascal,2
2020,A.Tate,1
2020,C.Beebe,1
2020,C.Johnson,1
2020,C.Wilson,1
2020,D.Hamilton,1
2020,D.Harty,1
2020,I.McKenzie,1
2020,J.Bradley,1
2020,J.Guyton,1
2020,J.Mickens,1
2020,K.Johnson,1
2020,M.Callaway,1
2020,M.Hall,1
2020,M.Hollins,1
2020,O.Johnson,1
2020,O.Zaccheaus,1
2020,P.Campbell,1
2020,P.Williams,1
2020,Q.Cephus,1
2020,R.Cobb,1
2020,T.Johnson,1
2020,Z.Jones,1
2019,D.Hopkins,17
2019,M.Thomas,17
2019,J.Jones,15
2019,A.Robinson,14
2019,C.Sutton,14
2019,J.Edelman,13
2019,J.Landry,13
2019,T.Boyd,13
2019,D.Adams,12
2019,R.Woods,12
2019,D.Moore,11
2019,D.Parker,11
2019,K.Golladay,11
2019,A.Cooper,10
2019,C.Godwin,10
2019,J.Brown,10
2019,K.Allen,10
2019,L.Fitzgerald,10
2019,M.Gallup,10
2019,O.Beckham,10
2019,C.Kirk,9
2019,C.Kupp,9
2019,D.Chark,9
2019,J.Crowder,9
2019,M.Evans,9
2019,T.Hill,9
2019,T.Lockett,9
2019,C.Beasley,8
2019,D.Westbrook,8
2019,S.Shepard,8
2019,S.Watkins,8
2019,T.McLaurin,8
2019,C.Conley,7
2019,C.Samuel,7
2019,D.Amendola,7
2019,D.Metcalf,7
2019,G.Tate,7
2019,S.Diggs,7
2019,W.Fuller,7
2019,A.Brown,6
2019,A.Jeffery,6
2019,A.Miller,6
2019,C.Ridley,6
2019,D.Johnson,6
2019,D.Samuel,6
2019,D.Slayton,6
2019,R.Chosen,6
2019,A.Erickson,5
2019,A.Thielen,5
2019,E.Sanders,5
2019,J.Smith-Schuster,5
2019,M.Brown,5
2019,M.Jones,5
2019,M.Williams,5
2019,N.Agholor,5
2019,P.Williams,5
2019,R.Cobb,5
2019,Z.Pascal,5
2019,A.Tate,4
2019,A.Wilson,4
2019,B.Cooks,4
2019,G.Ward,4
2019,H.Renfrow,4
2019,J.Washington,4
2019,M.Sanu,4
2019,R.Gage,4
2019,S.Sims,4
2019,T.Hilton,4
2019,B.Perriman,3
2019,D.Byrd,3
2019,D.Thomas,3
2019,J.Gordon,3
2019,J.Ross,3
2019,M.Valdes-Scantling,3
2019,T.Williams,3
2019,A.Hurns,2
2019,A.Lazard,2
2019,C.Blake,2
2019,C.Davis,2
2019,C.Latimer,2
2019,D.Williams,2
2019,I.Ford,2
2019,J.Grant,2
2019,J.Meyers,2
2019,J.Watson,2
2019,J.Wims,2
2019,K.Johnson,2
2019,K.Stills,2
2019,M.Hollins,2
2019,N.Harry,2
2019,O.Johnson,2
2019,P.Dorsett,2
2019,P.Richardson,2
2019,T.Gabriel,2
2019,T.Patrick,2
2019,T.Quinn,2
2019,A.Humphries,1
2019,B.Fowler,1
2019,B.Pringle,1
2019,B.Zylstra,1
2019,C.Lacy,1
2019,D.Carter,1
2019,D.Hamilton,1
2019,D.Inman,1
2019,D.Jackson,1
2019,D.Moncrief,1
2019,D.Robinson,1
2019,G.Allison,1
2019,J.Holton,1
2019,J.Reynolds,1
2019,K.Bourne,1
2019,K.Coutee,1
2019,M.Ateman,1
2019,M.Boykin,1
2019,M.Johnson,1
2019,P.Campbell,1
2019,S.Miller,1
2019,T.Ginn,1
2019,W.Snead,1
2019,Z.Jones,1
2018,R.Woods,16
2018,D.Adams,15
2018,D.Hopkins,14
2018,J.Jones,14
2018,A.Brown,13
2018,A.Thielen,13
2018,B.Cooks,13
2018,J.Edelman,13
2018,J.Landry,13
2018,J.Smith-Schuster,13
2018,K.Allen,13
2018,M.Thomas,13
2018,M.Evans,12
2018,T.Hill,12
2018,T.Hilton,12
2018,A.Cooper,11
2018,A.Robinson,11
2018,O.Beckham,11
2018,G.Tate,10
2018,K.Golladay,10
2018,L.Fitzgerald,10
2018,S.Diggs,10
2018,S.Shepard,10
2018,A.Jeffery,9
2018,T.Boyd,9
2018,W.Snead,9
2018,A.Green,8
2018,C.Davis,8
2018,D.Moore,8
