FirstName,LastName,Team,Position,This Week,Last Week,Difference
Charlie,Jones,CIN,WR,"$4,200","$4,200",0
Justin,Hall,MIN,WR,"$4,000",-,-
Tyquan,Thornton,NE,WR,"$4,300","$4,300",0
Shaun,Harrison,TEN,WR,"$4,000","$4,000",0
Tim,Jones,JAC,WR,"$4,100","$4,100",0
Jayden,Reed,GB,WR,"$7,600","$7,700",-100
Michael,Wilson,ARI,WR,"$6,300","$5,900",+400
Simi,Fehoko,LAC,WR,"$4,700","$4,200",+500
Brycen,Tremayne,WAS,WR,"$4,000","$4,200",-200
Justyn,Ross,KC,WR,"$4,000",-,-
Tee,Higgins,CIN,WR,"$7,800","$7,600",+200
Woods,II,CLE,WR,"$4,000","$4,000",0
Jesse,Matthews,ATL,WR,"$4,000","$4,000",0
Dax,Milne,LV,WR,"$4,000","$4,000",0
Julian,Hicks,GB,WR,"$4,000","$4,000",0
Jerry,Jeudy,CLE,WR,"$5,600","$5,700",-100
Jaylen,Waddle,MIA,WR,"$6,200",-,-
DeVonta,Smith,PHI,WR,"$7,700","$7,300",+400
Tyrell,Shavers,BUF,WR,"$4,000","$4,000",0
Austin,III,PIT,WR,"$4,900","$5,100",-200
Keys,III,BUF,WR,"$4,000","$4,000",0
Ronnie,Bell,SF,WR,"$4,000","$4,100",-100
Nico,Collins,HOU,WR,"$4,000","$8,900","-4,900"
Tarik,Black,PIT,WR,"$4,000","$4,000",0
Nikko,Remigio,KC,WR,"$4,000",-,-
Jaylen,Johnson,LAC,WR,"$4,000","$4,000",0
Matt,Landers,NE,WR,"$4,000","$4,000",0
Kearis,Jackson,NYG,WR,"$4,000","$4,000",0
Ethan,Fernea,IND,WR,"$4,000","$4,000",0
Kyle,Philips,PHI,WR,"$4,000","$4,000",0
Kazmeir,Allen,WAS,WR,"$4,000","$4,000",0
Jaelon,Darden,CLE,WR,"$4,000","$4,000",0
Marcus,Jones,NE,WR,"$4,000","$4,000",0
Malik,Knowles,MIN,WR,"$4,000",-,-
Phillip,Brooks,KC,WR,"$4,000",-,-
Sean,Ryan,BAL,WR,"$4,000","$4,000",0
Bo,Melton,GB,WR,"$4,400","$4,600",-200
Zavier,Scott,MIN,WR,"$4,000",-,-
Jalen,Nailor,MIN,WR,"$5,200",-,-
Cody,White,SEA,WR,"$4,000","$4,000",0
Marcus,Riley,NYJ,WR,"$4,000","$4,000",0
Tyler,Harrell,NYJ,WR,"$4,000","$4,000",0
Tutu,Atwell,LAR,WR,"$5,800",-,-
Isaiah,Hodgins,NYG,WR,"$4,000","$4,000",0
Jake,Bobo,SEA,WR,"$4,200","$4,300",-100
Sam,Pinckney,CAR,WR,"$4,000","$4,000",0
Rondale,Moore,ATL,WR,"$4,000","$4,000",0
Antoine,Green,DET,WR,"$4,000","$4,000",0
Dyami,Brown,WAS,WR,"$4,800","$4,800",0
Thayer,Thomas,MIN,WR,"$4,000",-,-
Devin,Carter,CAR,WR,"$4,000","$4,000",0
Elijah,Cooks,JAC,WR,"$4,000","$4,000",0
Romeo,Doubs,GB,WR,"$6,000","$5,700",+300
Deven,Thompkins,CAR,WR,"$4,000","$4,000",0
Gabe,Davis,JAC,WR,"$5,900","$5,800",+100
Derius,Davis,LAC,WR,"$4,300","$4,000",+300
Jalen,Reagor,LAC,WR,"$4,000","$4,000",0
Sam,Wiglusz,LAR,WR,"$4,000",-,-
Xavier,Johnson,HOU,WR,"$4,000","$4,000",0
Montrell,Washington,KC,WR,"$4,000",-,-
Keelan,Doss,LV,WR,"$4,000","$4,000",0
