season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
2024,REG,12,23107,Jordan Addison,MIN,1,Jordan Addison(MIN),1,8,162,20.3,103,12.9,99,12.4,59,7.4,47,5.9,2,9,28.1%,9,1,2,4,2,2,2,1,69
2024,REG,12,17253,Courtland Sutton,DEN,2,Courtland Sutton(DEN),1,8,97,12.1,92,11.5,104,13.0,5,0.6,0,0.0,0,10,25.6%,9,1,2,4,0,0,0,0,19
2024,REG,12,19790,Jaylen Waddle,MIA,3,Jaylen Waddle(MIA),1,8,144,18.0,100,12.5,103,12.9,44,5.5,12,1.5,0,9,22.5%,8,0,1,7,3,0,0,0,29
2024,REG,12,17265,DJ Moore,CHI,4,DJ Moore(CHI),1,7,106,15.1,25,3.6,25,3.6,81,11.6,29,4.1,1,7,14.9%,7,0,2,5,2,1,0,0,37
2024,REG,12,18218,A.J. Brown,PHI,5,A.J. Brown(PHI),1,6,109,18.2,60,10.0,67,11.2,49,8.2,48,8.0,3,7,36.8%,6,0,1,5,2,0,0,0,28
2024,REG,12,18466,Terry McLaurin,WAS,6,Terry McLaurin(WAS),1,5,102,20.4,43,8.6,82,16.4,59,11.8,0,0.0,0,6,17.6%,5,0,0,1,1,1,1,1,86
2024,REG,12,20130,Nico Collins,HOU,7,Nico Collins(HOU),1,5,92,18.4,67,13.4,86,17.2,25,5.0,10,2.0,0,9,29.0%,6,1,1,3,1,1,1,1,56
2024,REG,12,11616,Keenan Allen,LAC,8,Keenan Allen(LAC),1,9,86,9.6,55,6.1,122,13.6,31,3.4,3,0.3,0,15,31.9%,9,1,2,2,2,1,1,0,40
2024,REG,13,19201,Jerry Jeudy,CLE,1,Jerry Jeudy(CLE),1,9,235,26.1,138,15.3,206,22.9,97,10.8,0,0.0,0,13,22.8%,9,0,0,8,3,3,2,1,70
2024,REG,13,18466,Terry McLaurin,WAS,2,Terry McLaurin(WAS),1,8,73,9.1,55,6.9,55,6.9,18,2.3,7,0.9,0,8,26.7%,8,0,2,4,0,0,0,0,16
2024,REG,13,11616,Keenan Allen,LAC,3,Keenan Allen(LAC),1,5,73,14.6,58,11.6,115,23.0,15,3.0,7,1.4,0,8,22.2%,5,0,1,2,1,1,0,0,31
2024,REG,13,23106,Parker Washington,JAC,4,Parker Washington(JAC),1,6,103,17.2,67,11.2,122,20.3,36,6.0,19,3.2,0,12,28.6%,6,0,2,4,3,1,0,0,30
2024,REG,13,19747,Nick Westbrook-Ikhine,MIA,5,Nick Westbrook-Ikhine(MIA),1,3,61,20.3,48,16.0,88,29.3,13,4.3,9,3.0,0,8,22.2%,5,2,1,3,1,0,0,0,27
2024,REG,13,12119,Mike Evans,TB,6,Mike Evans(TB),1,8,118,14.8,93,11.6,146,18.3,25,3.1,9,1.1,0,12,35.3%,9,1,1,7,2,0,0,0,27
2024,REG,13,23080,Marvin Mims Jr.,DEN,7,Marvin Mims Jr.(DEN),1,3,105,35.0,25,8.3,77,25.7,80,26.7,4,1.3,0,4,12.9%,3,0,1,1,1,1,1,1,93
2024,REG,13,23020,Jayden Reed,GB,8,Jayden Reed(GB),1,3,24,8.0,12,4.0,64,21.3,12,4.0,2,0.7,1,6,21.4%,4,1,4,1,0,0,0,0,12
2024,REG,14,23107,Jordan Addison,MIN,1,Jordan Addison(MIN),1,8,133,16.6,103,12.9,136,17.0,30,3.8,3,0.4,1,12,42.9%,8,0,5,4,2,2,2,0,49
2024,REG,14,19788,Ja'Marr Chase,CIN,2,Ja'Marr Chase(CIN),1,14,177,12.6,95,6.8,163,11.6,82,5.9,16,1.1,0,18,41.9%,15,1,3,8,2,1,1,0,40
2024,REG,14,23180,Puka Nacua,LA,3,Puka Nacua(LAR),1,12,162,13.5,78,6.5,100,8.3,84,7.0,25,2.1,0,14,46.7%,12,0,3,8,1,0,0,0,21
2024,REG,14,19236,Justin Jefferson,MIN,4,Justin Jefferson(MIN),1,7,132,18.9,108,15.4,108,15.4,24,3.4,10,1.4,1,7,25.0%,7,0,2,5,3,1,1,1,52
2024,REG,14,19590,Jauan Jennings,SF,5,Jauan Jennings(SF),1,7,90,12.9,64,9.1,82,11.7,26,3.7,9,1.3,0,8,30.8%,7,0,2,3,1,1,0,0,39
2024,REG,14,15802,Tyreek Hill,MIA,6,Tyreek Hill(MIA),1,10,115,11.5,85,8.5,141,14.1,30,3.0,7,0.7,0,14,31.1%,10,0,1,6,1,0,0,0,21
2024,REG,14,23179,Jalen McMillan,TB,7,Jalen McMillan(TB),1,4,59,14.8,26,6.5,58,14.5,33,8.3,2,0.5,0,7,25.0%,5,1,1,2,1,0,0,0,29
2024,REG,14,12123,Davante Adams,LA,8,Davante Adams(LAR),1,9,109,12.1,58,6.4,76,8.4,51,5.7,25,2.8,3,11,28.2%,9,0,2,5,1,1,0,0,34
2024,REG,15,12123,Davante Adams,LA,1,Davante Adams(LAR),1,9,198,22.0,84,9.3,156,17.3,114,12.7,21,2.3,0,12,42.9%,11,2,3,5,4,3,3,1,71
2024,REG,15,12119,Mike Evans,TB,2,Mike Evans(TB),1,9,159,17.7,102,11.3,136,15.1,57,6.3,45,5.0,1,11,42.3%,9,0,0,4,3,2,1,1,57
2024,REG,15,19799,Amon-Ra St. Brown,DET,3,Amon-Ra St. Brown(DET),1,14,193,13.8,121,8.6,139,9.9,72,5.1,46,3.3,1,18,33.3%,15,1,6,7,3,1,1,1,66
2024,REG,15,23000,Brian Thomas Jr.,JAC,4,Brian Thomas Jr.(JAC),1,10,105,10.5,21,2.1,62,6.2,84,8.4,17,1.7,0,14,32.6%,10,0,3,2,1,1,1,0,41
2024,REG,15,19794,Rashod Bateman,BAL,5,Rashod Bateman(BAL),1,3,80,26.7,61,20.3,112,37.3,19,6.3,2,0.7,0,5,20.8%,3,0,0,3,2,1,1,0,49
2024,REG,15,18466,Terry McLaurin,WAS,6,Terry McLaurin(WAS),1,7,73,10.4,58,8.3,179,25.6,15,2.1,7,1.0,0,10,32.3%,8,1,2,3,1,0,0,0,25
2024,REG,15,19202,CeeDee Lamb,DAL,7,CeeDee Lamb(DAL),1,9,116,12.9,47,5.2,33,3.7,69,7.7,12,1.3,0,13,46.4%,9,0,1,5,2,0,0,0,28
2024,REG,15,18218,A.J. Brown,PHI,8,A.J. Brown(PHI),1,8,110,13.8,48,6.0,92,11.5,62,7.8,25,3.1,2,11,35.5%,8,0,1,5,2,0,0,0,21
2024,REG,16,19236,Justin Jefferson,MIN,1,Justin Jefferson(MIN),1,10,144,14.4,114,11.4,155,15.5,30,3.0,4,0.4,0,13,37.1%,10,0,2,5,2,1,0,0,39
2024,REG,16,23677,Jameson Williams,DET,2,Jameson Williams(DET),1,5,143,28.6,77,15.4,84,16.8,66,13.2,0,0.0,0,7,21.9%,5,0,1,4,2,1,1,1,82
2024,REG,16,11616,Keenan Allen,LAC,3,Keenan Allen(LAC),1,9,141,15.7,90,10.0,124,13.8,51,5.7,3,0.3,0,13,35.1%,9,0,2,6,3,1,1,0,45
2024,REG,16,23000,Brian Thomas Jr.,JAC,4,Brian Thomas Jr.(JAC),1,9,132,14.7,76,8.4,140,15.6,56,6.2,9,1.0,0,13,37.1%,9,0,0,3,2,1,1,1,62
2024,REG,16,18864,Olamide Zaccheaus,CHI,5,Olamide Zaccheaus(CHI),1,5,70,14.0,28,5.6,37,7.4,42,8.4,17,3.4,2,8,22.2%,5,0,2,2,1,1,1,0,49
2024,REG,16,18244,Deebo Samuel Sr.,WAS,6,Deebo Samuel Sr.(WAS),1,7,96,13.7,3,0.4,21,3.0,93,13.3,43,6.1,5,9,24.3%,7,0,1,5,1,0,0,0,27
2024,REG,16,19788,Ja'Marr Chase,CIN,7,Ja'Marr Chase(CIN),1,6,97,16.2,55,9.2,70,11.7,42,7.0,26,4.3,3,8,28.6%,6,0,1,6,1,1,0,0,32
2024,REG,16,23070,Jaxon Smith-Njigba,SEA,8,Jaxon Smith-Njigba(SEA),1,8,95,11.9,67,8.4,156,19.5,28,3.5,15,1.9,0,12,28.6%,9,1,1,5,1,0,0,0,25
2024,REG,17,19211,Tee Higgins,CIN,1,Tee Higgins(CIN),1,11,131,11.9,112,10.2,115,10.5,19,1.7,10,0.9,0,12,24.5%,11,0,4,6,1,1,0,0,31
2024,REG,17,25409,Malik Nabers,NYG,2,Malik Nabers(NYG),1,7,171,24.4,69,9.9,74,10.6,102,14.6,80,11.4,2,8,36.4%,7,0,1,5,3,3,1,1,59
2024,REG,17,19222,DeVonta Smith,PHI,3,DeVonta Smith(PHI),1,6,120,20.0,83,13.8,81,13.5,37,6.2,0,0.0,0,7,38.9%,6,0,2,4,3,1,1,0,49
2024,REG,17,13429,Adam Thielen,CAR,4,Adam Thielen(CAR),1,5,110,22.0,98,19.6,113,22.6,12,2.4,0,0.0,0,6,27.3%,5,0,1,4,2,2,1,0,40
2024,REG,17,23080,Marvin Mims Jr.,DEN,5,Marvin Mims Jr.(DEN),1,8,103,12.9,61,7.6,61,7.6,42,5.3,7,0.9,0,8,25.8%,8,0,0,2,2,1,1,1,51
2024,REG,17,12119,Mike Evans,TB,6,Mike Evans(TB),1,8,97,12.1,75,9.4,95,11.9,22,2.8,8,1.0,0,9,28.1%,9,1,2,4,2,1,0,0,34
2024,REG,17,26122,Ladd McConkey,LAC,7,Ladd McConkey(LAC),1,8,94,11.8,73,9.1,113,14.1,21,2.6,2,0.3,0,10,25.0%,9,1,1,3,1,1,1,0,40
2024,REG,17,26214,Ricky Pearsall,SF,8,Ricky Pearsall(SF),1,8,141,17.6,104,13.0,134,16.8,37,4.6,5,0.6,0,10,27.8%,8,0,1,6,2,2,1,0,40
2024,REG,18,23163,Drake London,ATL,1,Drake London(ATL),1,10,187,18.7,150,15.0,258,25.8,37,3.7,25,2.5,2,18,48.6%,11,1,1,7,5,1,0,0,39
2024,REG,18,23123,Quentin Johnston,LAC,2,Quentin Johnston(LAC),1,13,186,14.3,132,10.2,135,10.4,54,4.2,16,1.2,0,14,40.0%,14,1,3,6,3,2,0,0,39
2024,REG,18,18598,Jakobi Meyers,LV,3,Jakobi Meyers(LV),1,9,123,13.7,108,12.0,126,14.0,15,1.7,5,0.6,0,10,29.4%,9,0,1,4,4,0,0,0,25
2024,REG,18,22989,Kayshon Boutte,NE,4,Kayshon Boutte(NE),1,7,117,16.7,85,12.1,85,12.1,32,4.6,10,1.4,0,7,25.0%,7,0,0,5,2,1,1,0,48
2024,REG,18,18585,Greg Dortch,ARI,5,Greg Dortch(ARI),1,4,47,11.8,5,1.3,5,1.3,42,10.5,13,3.3,0,4,12.5%,4,0,2,2,1,0,0,0,23
2024,REG,18,23080,Marvin Mims Jr.,DEN,6,Marvin Mims Jr.(DEN),1,5,51,10.2,-18,-3.6,-18,-3.6,69,13.8,30,6.0,0,5,17.2%,5,0,1,1,1,1,0,0,32
2024,REG,18,17253,Courtland Sutton,DEN,7,Courtland Sutton(DEN),1,5,98,19.6,90,18.0,116,23.2,8,1.6,3,0.6,0,7,24.1%,5,0,2,3,2,2,1,0,47
2024,REG,18,19788,Ja'Marr Chase,CIN,8,Ja'Marr Chase(CIN),1,10,96,9.6,70,7.0,87,8.7,26,2.6,14,1.4,0,14,30.4%,10,0,3,3,0,0,0,0,19
