season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %,merge_name,merge_key,season_dfs,week_dfs,player_id,player,dk_position,fd_position,team,opponent,dk_salary,fd_salary,dk_fpts,fd_fpts,merge_name_dfs
2024,REG,1,12119,mike evans,TB,1,Mike Evans(TB),2,3,0.667,0,9.0,0,0.75,0,0.0,0,1,13.8,13.8,0.976,mike evans,mike evans_2024_1,2024,1,mike-evans,Mike Evans,WR,WR,TB,Washington Commanders,7300,7900,23.1,20.6,mike evans
2024,REG,1,13981,stefon diggs,NE,2,Stefon Diggs(NE),3,3,1.0,0,3.7,0,0.75,0,0.0,0,1,13.1,13.1,0.846,stefon diggs,stefon diggs_2024_1,2024,1,stefon-diggs,Stefon Diggs,WR,WR,HOU,Indianapolis Colts,6700,6800,21.9,18.9,stefon diggs
2024,REG,1,23000,brian thomas jr.,JAX,3,Brian Thomas Jr.(JAC),1,1,1.0,0,14.0,0,1.0,0,0.0,0,1,7.4,7.4,0.992,brian thomas jr,brian thomas jr_2024_1,2024,1,brian-thomas-jr,Brian Thomas Jr.,WR,WR,JAX,Miami Dolphins,4700,5100,14.7,12.7,brian thomas jr
2024,REG,1,16433,cooper kupp,SEA,4,Cooper Kupp(SEA),2,3,0.667,1,6.5,0,0.6,1,1.0,0,1,7.4,7.4,0.831,cooper kupp,cooper kupp_2024_1,2024,1,cooper-kupp,Cooper Kupp,WR,WR,LA,Detroit Lions,7100,7000,35.0,25.0,cooper kupp
2024,REG,1,16489,mack hollins,NE,5,Mack Hollins(NE),1,1,1.0,0,11.0,0,0.25,0,0.0,0,1,7.1,7.1,0.017,mack hollins,mack hollins_2024_1,2024,1,mack-hollins,Mack Hollins,WR,WR,BUF,Arizona Cardinals,3000,4100,10.5,9.5,mack hollins
2024,REG,1,23748,khalil shakir,BUF,6,Khalil Shakir(BUF),1,1,1.0,0,11.0,0,0.25,0,0.0,0,1,7.1,7.1,0.78,khalil shakir,khalil shakir_2024_1,2024,1,khalil-shakir,Khalil Shakir,WR,WR,BUF,Arizona Cardinals,5100,5400,13.2,11.7,khalil shakir
2024,REG,1,26122,ladd mcconkey,LAC,7,Ladd McConkey(LAC),1,2,0.5,0,10.0,0,0.5,0,0.0,0,1,7.0,7.0,0.989,ladd mcconkey,ladd mcconkey_2024_1,2024,1,ladd-mcconkey,Ladd McConkey,WR,WR,LAC,Las Vegas Raiders,4700,5300,14.9,12.4,ladd mcconkey
2024,REG,1,17301,allen lazard,NYJ,8,Allen Lazard(NYJ),2,3,0.667,0,3.5,0,0.5,0,0.0,0,1,6.7,6.7,0.025,allen lazard,allen lazard_2024_1,2024,1,allen-lazard,Allen Lazard,WR,WR,NYJ,San Francisco 49ers,3000,4200,26.9,23.9,allen lazard
2024,REG,2,25335,andrei iosivas,CIN,1,Andrei Iosivas(CIN),2,2,1.0,0,3.5,0,0.25,0,0.0,0,1,12.7,12.7,0.057,andrei iosivas,andrei iosivas_2024_2,2024,2,andrei-iosivas,Andrei Iosivas,WR,WR,CIN,Kansas City Chiefs,3800,5200,14.7,13.7,andrei iosivas
2024,REG,2,24354,dontayvion wicks,GB,2,Dontayvion Wicks(GB),1,1,1.0,0,14.0,0,1.0,0,0.0,0,1,7.4,7.4,0.084,dontayvion wicks,dontayvion wicks_2024_2,2024,2,dontayvion-wicks,Dontayvion Wicks,WR,WR,GB,Indianapolis Colts,4700,4100,11.6,10.1,dontayvion wicks
