season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %
2017,REG,13,9383,Larry Fitzgerald,FA,3,Larry Fitzgerald(FA),2,2,100.0%,0,10.5,0,100.0%,0,0%,0,1,8.1,8.1,0.8%
2017,REG,13,12260,Ryan Grant,FA,4,Ryan Grant(FA),1,1,100.0%,0,20.0,0,33.3%,0,0%,0,1,8.0,8.0,0.0%
2017,REG,13,9681,Dez Bryant,FA,5,Dez Bryant(FA),2,2,100.0%,0,9.5,0,66.7%,0,0%,0,1,7.9,7.9,2.6%
2017,REG,13,15511,Josh Doctson,FA,6,Josh Doctson(FA),1,1,100.0%,0,14.0,0,33.3%,0,0%,0,1,7.4,7.4,0.0%
2017,REG,13,12118,Sammy Watkins,FA,7,Sammy Watkins(FA),1,1,100.0%,0,11.0,0,16.7%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,13,15528,Michael Thomas,FA,8,Michael Thomas(FA),1,3,33.3%,0,10.0,0,100.0%,0,0.0%,0,1,7.0,7.0,0.7%
2017,REG,14,12128,Jarvis Landry,FA,1,Jarvis Landry(FA),3,3,100.0%,0,5.0,0,75.0%,0,0%,0,1,13.5,13.5,7.1%
2017,REG,14,9691,Demaryius Thomas,FA,2,Demaryius Thomas(FA),2,3,66.7%,0,11.5,0,60.0%,0,0%,0,1,8.3,8.3,0.1%
2017,REG,14,16436,Dede Westbrook,FA,3,Dede Westbrook(FA),1,2,50.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2017,REG,14,13915,Devin Funchess,FA,4,Devin Funchess(FA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2017,REG,14,11440,Josh Gordon,FA,5,Josh Gordon(FA),1,1,100.0%,0,18.0,0,50.0%,0,0%,0,1,7.8,7.8,0.1%
2017,REG,14,9699,Brandon LaFell,FA,6,Brandon LaFell(FA),1,1,100.0%,0,14.0,0,100.0%,0,0%,0,1,7.4,7.4,0.0%
